path	disposition	target_lines	required_examples	priority	notes
docs/BCS-Bash-Ref/02_Bash-as-a-Program/06_BASH_ENV-and-ENV.md	KEEP	80	1	P3	short by intent; add a BASH_ENV injection example and security note tying to §20
docs/BCS-Bash-Ref/02_Bash-as-a-Program/07_Command-line-options-to-bash-itself.md	KEEP	100	1	P3	option catalogue acceptable as cheatsheet; add a -O shoptname example and tighten
docs/BCS-Bash-Ref/02_Bash-as-a-Program/08_Exit-and-shell-session-lifecycle.md	KEEP	100	1	P3	needs an EXIT-trap example and clarify subshell EXIT inheritance with set -E vs functrace
docs/BCS-Bash-Ref/02_Bash-as-a-Program/index.md	KEEP	24	0	P3	index page complete with prev/next nav
docs/BCS-Bash-Ref/03_Lexical-Structure-and-Shell-Grammar/01_Tokenisation.md	KEEP	150	2	P2	core parser concept; needs metachar table and worked tokenisation example for [[ -f $f ]]
docs/BCS-Bash-Ref/03_Lexical-Structure-and-Shell-Grammar/02_Reserved-words.md	KEEP	100	1	P2	list complete; needs example of reserved-word context vs literal context with quote-suppression demo
docs/BCS-Bash-Ref/03_Lexical-Structure-and-Shell-Grammar/03_Comments.md	KEEP	90	1	P2	rules accurate; needs foo#bar vs # foo demo and BCS leading-only comment style citation
docs/BCS-Bash-Ref/03_Lexical-Structure-and-Shell-Grammar/04_Quoting-overview.md	KEEP	150	2	P2	gateway chapter to four sub-quoting forms; needs hierarchy table and "$var" rationale example
docs/BCS-Bash-Ref/03_Lexical-Structure-and-Shell-Grammar/05_Single-quotes.md	KEEP	80	1	P2	needs the close-escape-reopen idiom shown as code; rules complete
docs/BCS-Bash-Ref/03_Lexical-Structure-and-Shell-Grammar/06_Double-quotes.md	KEEP	150	2	P2	cardinal "$@" vs "$*" semantics requires a worked example; central to scripting correctness
docs/BCS-Bash-Ref/03_Lexical-Structure-and-Shell-Grammar/07_ANSI-C-quoting.md	KEEP	100	1	P2	escape table needs to be a literal markdown table with hex/octal/unicode rows
docs/BCS-Bash-Ref/03_Lexical-Structure-and-Shell-Grammar/08_Locale-translation.md	KEEP	14	0	P2	rare-feature acknowledgement; bullets adequate for the disposition the author chose
docs/BCS-Bash-Ref/03_Lexical-Structure-and-Shell-Grammar/09_Backslash-escapes.md	KEEP	90	1	P2	needs context-table (outside vs in "" vs in '' vs in $'') with one example each
docs/BCS-Bash-Ref/03_Lexical-Structure-and-Shell-Grammar/10_Shell-grammar.md	KEEP	160	2	P2	grammar productions need BNF block plus worked parse-tree example for a real pipeline
docs/BCS-Bash-Ref/03_Lexical-Structure-and-Shell-Grammar/11_Operator-precedence.md	KEEP	140	2	P2	precedence is footgun-rich; needs a precedence table and an a && b || c example showing why it is not if/else
docs/BCS-Bash-Ref/03_Lexical-Structure-and-Shell-Grammar/index.md	KEEP	26	0	P2	index page complete
docs/BCS-Bash-Ref/04_Parameters-Variables-and-Arrays/01_Parameter-taxonomy.md	KEEP	80	1	P2	overview chapter; add a hierarchy diagram and one example of each taxonomy class
docs/BCS-Bash-Ref/04_Parameters-Variables-and-Arrays/02_Positional-parameters.md	KEEP	160	2	P2	needs "$@" vs "$*" worked example and a getopts loop showing how positionals are consumed
docs/BCS-Bash-Ref/04_Parameters-Variables-and-Arrays/03_Special-parameters.md	KEEP	110	1	P2	needs a literal table of $? $$ $! $_ $- $0 with example values; appendix-style cheatsheet
docs/BCS-Bash-Ref/04_Parameters-Variables-and-Arrays/04_Shell-variables.md	KEEP	220	2	P2	long reserved-name list functions as appendix preview; needs sub-grouping headings and examples for BASH_SOURCE/PIPESTATUS/BASH_REMATCH
docs/BCS-Bash-Ref/04_Parameters-Variables-and-Arrays/05_The-declare-builtin-and-attributes.md	KEEP	200	3	P2	declare is BCS-central; needs attribute table plus -i -a -A -n -r -x worked examples; combining-attributes pitfalls
docs/BCS-Bash-Ref/04_Parameters-Variables-and-Arrays/06_local-and-dynamic-scope.md	KEEP	170	2	P2	dynamic-scope is foreign to most readers; needs caller/callee visibility demo and the local -- BCS rule shown
docs/BCS-Bash-Ref/04_Parameters-Variables-and-Arrays/07_readonly-and-immutability.md	KEEP	100	1	P2	needs a SCRIPT_NAME readonly example and a function-readonly example
docs/BCS-Bash-Ref/04_Parameters-Variables-and-Arrays/08_export-and-the-environment.md	KEEP	150	2	P2	Shellshock function-export deserves a paragraph plus the export -f example; assignment-prefixed-command behavior needs demo
docs/BCS-Bash-Ref/04_Parameters-Variables-and-Arrays/09_Indexed-arrays.md	KEEP	220	3	P2	core Bash data structure; needs sparse-array demo plus copy-pitfall worked code plus iteration loop
docs/BCS-Bash-Ref/04_Parameters-Variables-and-Arrays/10_Associative-arrays.md	KEEP	200	3	P2	needs declare -A demo plus membership test plus deterministic-iteration sort idiom; central to modern Bash
docs/BCS-Bash-Ref/04_Parameters-Variables-and-Arrays/11_Namerefs-n.md	KEEP	180	3	P2	nameref is conceptually subtle; needs output-parameter pattern code and cycle/shadowing pitfall examples
docs/BCS-Bash-Ref/04_Parameters-Variables-and-Arrays/12_Integer-arithmetic-semantics.md	KEEP	150	2	P2	underflow/overflow/base-prefix examples needed; set -u inconsistency note must be demonstrated
docs/BCS-Bash-Ref/04_Parameters-Variables-and-Arrays/13_Variable-assignment-semantics.md	KEEP	170	2	P2	scalar vs compound array assignment expansion difference is footgun-rich; needs side-by-side demo
docs/BCS-Bash-Ref/04_Parameters-Variables-and-Arrays/14_Unsetting.md	KEEP	100	1	P2	needs unset arr[i] quoting demo and -n nameref-vs-target unset distinction
docs/BCS-Bash-Ref/04_Parameters-Variables-and-Arrays/index.md	KEEP	30	0	P2	index page complete
docs/BCS-Bash-Ref/05_Expansions/01_Order-of-expansions.md	KEEP	90	1	P2	numbered list excellent; add a worked walkthrough of one command through all eight phases
docs/BCS-Bash-Ref/05_Expansions/02_Brace-expansion.md	KEEP	100	2	P2	range and nested forms benefit from short outputs shown in fenced blocks
docs/BCS-Bash-Ref/05_Expansions/03_Tilde-expansion.md	KEEP	90	1	P2	needs quoted-vs-unquoted demo and a PATH=~/bin assignment example
docs/BCS-Bash-Ref/05_Expansions/04_Parameter-and-variable-expansion.md	KEEP	260	4	P2	richest expansion in Bash; current bullets are appendix-preview; needs operator-by-operator table with mini-examples for default/substring/pattern/case/transformation
docs/BCS-Bash-Ref/05_Expansions/05_Arithmetic-expansion.md	KEEP	110	1	P2	needs a small example showing $(( a + b )) without the $ prefix and the set -u arithmetic inconsistency demonstrated
docs/BCS-Bash-Ref/05_Expansions/06_Command-substitution.md	KEEP	150	2	P2	needs $(<file) demo and the inherit_errexit interaction shown; trailing-newline stripping example
docs/BCS-Bash-Ref/05_Expansions/07_Process-substitution.md	KEEP	140	2	P2	diff <(sort a) <(sort b) is the canonical example and must appear; tee >(...) demo for fan-out
docs/BCS-Bash-Ref/05_Expansions/08_Word-splitting-and-IFS.md	KEEP	180	3	P2	word-splitting is the #1 source of Bash bugs; needs IFS=$'\\t\\n' demo plus IFS=: parsing demo plus quote-vs-unquote contrast
docs/BCS-Bash-Ref/05_Expansions/09_Pathname-expansion-globbing.md	KEEP	170	2	P2	needs POSIX-class table and dotglob/nullglob behavioural demo with directory listings
docs/BCS-Bash-Ref/05_Expansions/10_Quote-removal.md	KEEP	60	1	P2	short by intent; the var=$'a\\\\b' example mentioned in prose should be a real fenced block
docs/BCS-Bash-Ref/05_Expansions/11_Glob-options.md	KEEP	160	2	P2	shopt toggles need a save-restore idiom demo and a nullglob-vs-failglob behavioural example
docs/BCS-Bash-Ref/05_Expansions/12_Extended-globs-extglob.md	KEEP	150	2	P2	extglob operators each need a one-line demo; the !(*.bak|*.tmp) form is essential
docs/BCS-Bash-Ref/05_Expansions/13_Locale-and-pattern-matching.md	KEEP	110	1	P2	needs LC_ALL=C example and a [a-z] locale-collation gotcha demo
docs/BCS-Bash-Ref/05_Expansions/index.md	KEEP	30	0	P2	index page complete
docs/BCS-Bash-Ref/11_Process-Management/index.md	KEEP	30	0	P1	Part-index TOC; navigation only
docs/BCS-Bash-Ref/11_Process-Management/01_The-Bash-process-tree-at-runtime.md	KEEP	160	2	P1	Tree shape per construct needs diagram and pstree example; foundational
docs/BCS-Bash-Ref/11_Process-Management/02_PIDs-BASHPID-PPID.md	KEEP	140	2	P1	Most-misunderstood BASHPID vs $$ semantics; needs subshell demo
docs/BCS-Bash-Ref/11_Process-Management/03_Subshell-origins.md	KEEP	150	2	P1	Subshell catalogue is foundational; lastpipe interaction missing
docs/BCS-Bash-Ref/11_Process-Management/04_BASH_SUBSHELL-depth-tracking.md	KEEP	60	1	P1	Tight scope; needs SHLVL contrast example and library-guard idiom
docs/BCS-Bash-Ref/11_Process-Management/05_Foreground-vs-background.md	KEEP	160	3	P1	$!, wait -n, huponexit need worked examples; SIGCHLD interaction
docs/BCS-Bash-Ref/11_Process-Management/06_Process-groups-and-sessions.md	KEEP	170	2	P1	pgid/sid model is dense; needs ps -o pgid demo and signal-fanout note
docs/BCS-Bash-Ref/11_Process-Management/07_The-job-table.md	KEEP	60	1	P1	Tight scope; non-interactive set -m caveat needs example
docs/BCS-Bash-Ref/11_Process-Management/08_Job-specifications.md	KEEP	20	0	P1	Cheatsheet table fits skeleton form
docs/BCS-Bash-Ref/11_Process-Management/09_Job-control-builtins.md	KEEP	70	1	P1	disown -h vs -a vs default needs concrete example
docs/BCS-Bash-Ref/11_Process-Management/10_kill-and-signal-delivery.md	KEEP	80	1	P1	Process-group negative-PID semantics warrants worked example
docs/BCS-Bash-Ref/11_Process-Management/11_nohup-and-setsid.md	KEEP	120	2	P1	Daemonisation discipline; needs nohup vs setsid vs disown comparison
docs/BCS-Bash-Ref/11_Process-Management/12_Detaching-from-the-terminal.md	KEEP	150	2	P1	Double-fork pattern needs full bash idiom; systemd vs bash trade-off
docs/BCS-Bash-Ref/11_Process-Management/13_Environment-inheritance.md	KEEP	70	1	P1	env-i and VAR=val cmd one-shot need example
docs/BCS-Bash-Ref/12_Signals-and-Traps/index.md	KEEP	33	0	P1	Part-index TOC; navigation only
docs/BCS-Bash-Ref/12_Signals-and-Traps/01_Signal-taxonomy.md	KEEP	60	0	P1	Categorical list adequate; add default-action column reference to Appendix K
docs/BCS-Bash-Ref/12_Signals-and-Traps/02_Signal-numbers-and-names.md	KEEP	20	0	P1	Cheatsheet pointing to Appendix K
docs/BCS-Bash-Ref/12_Signals-and-Traps/03_Uncatchable-signals.md	KEEP	50	1	P1	Critical-cleanup discipline needs worked example
docs/BCS-Bash-Ref/12_Signals-and-Traps/04_Signal-disposition.md	KEEP	70	1	P1	Inheritance and exec-reset interaction need brief demo
docs/BCS-Bash-Ref/12_Signals-and-Traps/05_The-trap-builtin.md	KEEP	160	3	P1	Single vs double-quote handler expansion is bug magnet; full forms needed
docs/BCS-Bash-Ref/12_Signals-and-Traps/06_Pseudo-signals-EXIT-ERR-DEBUG-RETURN.md	KEEP	200	4	P1	Pseudo-signal semantics are foundational; each needs example
docs/BCS-Bash-Ref/12_Signals-and-Traps/07_trap-p-and-trap-inspection.md	KEEP	50	1	P1	trap -p output sample needed
docs/BCS-Bash-Ref/12_Signals-and-Traps/08_Trap-inheritance.md	KEEP	160	2	P1	set -E set -T extdebug interactions are non-obvious; matrix needed
docs/BCS-Bash-Ref/12_Signals-and-Traps/09_Trap-reset-across-exec.md	KEEP	50	1	P1	Ignored-vs-caught reset rules need exec demo
docs/BCS-Bash-Ref/12_Signals-and-Traps/10_Synchronous-vs-asynchronous-delivery.md	KEEP	160	2	P1	wait-and-invert idiom missing; sleep-trap classic deserves walkthrough
docs/BCS-Bash-Ref/12_Signals-and-Traps/11_Signal-safe-code.md	KEEP	150	2	P1	Async-signal-safety in bash poorly known; flag-and-defer pattern needed
docs/BCS-Bash-Ref/12_Signals-and-Traps/12_Idempotent-cleanup-patterns.md	KEEP	80	2	P1	Sentinel and trap-disable patterns need full example
docs/BCS-Bash-Ref/12_Signals-and-Traps/13_Tempfile-and-tempdir-lifecycle.md	KEEP	70	1	P1	Code block present; add multi-tempdir array cleanup demo
docs/BCS-Bash-Ref/12_Signals-and-Traps/14_Lockfile-pattern.md	KEEP	80	1	P1	Code block present; add stale-lock and PID-write variant
docs/BCS-Bash-Ref/12_Signals-and-Traps/15_Atomic-file-write.md	KEEP	70	1	P1	Code block present; cross-FS warning warrants its own example
docs/BCS-Bash-Ref/12_Signals-and-Traps/16_Reload-on-SIGHUP.md	KEEP	80	1	P1	Code block present; flag-and-defer race pattern needs concrete code
docs/BCS-Bash-Ref/13_Error-Handling-and-Exit-Status/index.md	KEEP	29	0	P1	Part-index TOC; navigation only
docs/BCS-Bash-Ref/13_Error-Handling-and-Exit-Status/01_Exit-status-fundamentals.md	KEEP	70	1	P1	Add 8-bit truncation example exit 257 -> 1
docs/BCS-Bash-Ref/13_Error-Handling-and-Exit-Status/02_set-e-errexit-full-semantics.md	KEEP	220	4	P1	Most-misunderstood feature in bash; reference-grade prose mandatory
docs/BCS-Bash-Ref/13_Error-Handling-and-Exit-Status/03_The-errexit-exemption-matrix.md	KEEP	200	5	P1	Exemption matrix needs each row demonstrated; this is the canonical reference
docs/BCS-Bash-Ref/13_Error-Handling-and-Exit-Status/04_set-u-nounset.md	KEEP	150	3	P1	Array-unset gotchas and default-expansion forms need worked examples
docs/BCS-Bash-Ref/13_Error-Handling-and-Exit-Status/05_set-o-pipefail.md	KEEP	160	3	P1	pipefail interaction with PIPESTATUS and SIGPIPE needs walkthrough
docs/BCS-Bash-Ref/13_Error-Handling-and-Exit-Status/06_inherit_errexit.md	KEEP	140	2	P1	Bug magnet without inherit_errexit; before/after example required
docs/BCS-Bash-Ref/13_Error-Handling-and-Exit-Status/07_and-true-idioms.md	KEEP	70	1	P1	Add AND-OR list precedence trap example
docs/BCS-Bash-Ref/13_Error-Handling-and-Exit-Status/08_The-ERR-trap.md	KEEP	90	2	P1	Code block present; add inheritance interaction note
docs/BCS-Bash-Ref/13_Error-Handling-and-Exit-Status/09_errtrace-and-trap-inheritance.md	KEEP	130	2	P1	set -eET strict-mode contract deserves full demo and library-fn case
docs/BCS-Bash-Ref/13_Error-Handling-and-Exit-Status/10_Exit-code-conventions.md	KEEP	80	1	P1	BCS code table aligns with global codes; add pointer to Appendix
docs/BCS-Bash-Ref/13_Error-Handling-and-Exit-Status/11_Propagating-exit-codes.md	KEEP	160	3	P1	local x=$(failing) error-eating gotcha needs canonical demo
docs/BCS-Bash-Ref/13_Error-Handling-and-Exit-Status/12_Rich-error-output.md	KEEP	100	2	P1	Code block present; add formatted-output and JSON-mode variant
docs/BCS-Bash-Ref/14_Input-Output-and-Messaging/index.md	KEEP	29	0	P1	Part-index TOC; navigation only
docs/BCS-Bash-Ref/14_Input-Output-and-Messaging/01_Standard-streams-discipline.md	KEEP	130	2	P1	Composable-script discipline is foundational; needs pipeline anti-pattern demo
docs/BCS-Bash-Ref/14_Input-Output-and-Messaging/02_The-read-builtin.md	KEEP	100	2	P1	Flag table comprehensive; add IFS interaction and timeout-loop pattern
docs/BCS-Bash-Ref/14_Input-Output-and-Messaging/03_mapfile-readarray.md	KEEP	80	1	P1	Add file-into-array idiom and NUL example
docs/BCS-Bash-Ref/14_Input-Output-and-Messaging/04_The-printf-builtin.md	KEEP	100	2	P1	Add printf -v capture pattern and timestamp example
docs/BCS-Bash-Ref/14_Input-Output-and-Messaging/05_printf-vs-echo.md	KEEP	60	1	P1	Add concrete -e flag failure mode demonstration
docs/BCS-Bash-Ref/14_Input-Output-and-Messaging/06_Format-specifiers.md	KEEP	21	0	P1	Cheatsheet form appropriate
docs/BCS-Bash-Ref/14_Input-Output-and-Messaging/07_Logging-discipline.md	KEEP	170	3	P1	BCS _msg dispatch pattern is canonical; needs full FUNCNAME implementation
docs/BCS-Bash-Ref/14_Input-Output-and-Messaging/08_Log-levels.md	KEEP	80	1	P1	Add structured-logging JSON example
docs/BCS-Bash-Ref/14_Input-Output-and-Messaging/09_Coloured-output-and-TERM-detection.md	KEEP	150	3	P1	BCS color-init pattern deserves full implementation; tput vs ANSI trade-off
docs/BCS-Bash-Ref/14_Input-Output-and-Messaging/10_Progress-indicators.md	KEEP	90	2	P1	Add spinner and bar code blocks and TTY-detect guard
docs/BCS-Bash-Ref/14_Input-Output-and-Messaging/11_Reading-binary-data.md	KEEP	60	1	P1	Add NUL-separated find-mapfile pattern; warning prose adequate
docs/BCS-Bash-Ref/14_Input-Output-and-Messaging/12_File-locking-for-concurrent-writes.md	KEEP	70	1	P1	PIPE_BUF and O_APPEND need brief calibration example
docs/BCS-Bash-Ref/15_Command-Line-Processing/index.md	KEEP	28	0	P1	Part-index TOC; navigation only
docs/BCS-Bash-Ref/15_Command-Line-Processing/01_CLI-conventions.md	KEEP	80	1	P1	Convention list adequate; add concrete invocation examples
docs/BCS-Bash-Ref/15_Command-Line-Processing/02_getopts-builtin.md	KEEP	140	2	P1	Full getopts loop with silent-mode and OPTERR handling required
docs/BCS-Bash-Ref/15_Command-Line-Processing/03_GNU-getopt1-external.md	KEEP	60	1	P1	BSD vs GNU detection idiom should appear; warning prose adequate
docs/BCS-Bash-Ref/15_Command-Line-Processing/04_Hand-rolled-while-case-shift.md	KEEP	120	2	P1	Code block present and canonical; expand bundling-class explanation and noarg helper definition
docs/BCS-Bash-Ref/15_Command-Line-Processing/05_Long-options.md	KEEP	60	1	P1	Add both forms within a single case-block demo
docs/BCS-Bash-Ref/15_Command-Line-Processing/06_Bundled-short-options.md	KEEP	70	1	P1	Bundling-class character-set rule deserves explicit code demo
docs/BCS-Bash-Ref/15_Command-Line-Processing/07_end-of-options.md	KEEP	60	1	P1	Add filename-with-leading-dash example
docs/BCS-Bash-Ref/15_Command-Line-Processing/08_Subcommand-dispatch.md	KEEP	100	2	P1	Code block present; add per-subcommand option-parsing example referencing bcs script
docs/BCS-Bash-Ref/15_Command-Line-Processing/09_Help-text-conventions.md	KEEP	80	1	P1	Add fully-formed --help output sample
docs/BCS-Bash-Ref/15_Command-Line-Processing/10_Synopsis-grammar.md	KEEP	20	0	P1	Cheatsheet form appropriate
docs/BCS-Bash-Ref/15_Command-Line-Processing/11_Auto-generating-usage.md	KEEP	130	2	P1	Deferred-action / single-source-of-truth pattern central to BCS template; needs working impl
docs/BCS-Bash-Ref/16_Concurrency-and-Parallelism/index.md	KEEP	29	0	P2	chapter index complete with orientation prose and links
docs/BCS-Bash-Ref/16_Concurrency-and-Parallelism/01_Sequential-vs-background-execution.md	KEEP	60	1	P2	add wait $! and disown contrast plus one redirect example
docs/BCS-Bash-Ref/16_Concurrency-and-Parallelism/02_wait-and-wait-n.md	KEEP	70	1	P2	add wait -n loop example and pre-5.1 fallback note
docs/BCS-Bash-Ref/16_Concurrency-and-Parallelism/03_wait-pid-for-specific-child.md	KEEP	17	1	P2	concise with example covering the pattern
docs/BCS-Bash-Ref/16_Concurrency-and-Parallelism/04_Capturing-per-child-exit-status.md	KEEP	120	2	P2	needs full pid-array + status-array example and aggregation logic; thin
docs/BCS-Bash-Ref/16_Concurrency-and-Parallelism/05_Bounded-concurrency-fan-out.md	KEEP	80	1	P2	example present but pids array removal idiom is buggy in skeleton; clarify and add pre-5.1 fallback
docs/BCS-Bash-Ref/16_Concurrency-and-Parallelism/06_The-job-table-under-concurrency.md	KEEP	70	1	P2	add jobs builtin output sample and disown semantics
docs/BCS-Bash-Ref/16_Concurrency-and-Parallelism/07_xargs-P.md	KEEP	80	1	P2	add find -print0 piped example and discuss line-buffering pitfall
docs/BCS-Bash-Ref/16_Concurrency-and-Parallelism/08_GNU-parallel.md	KEEP	90	2	P2	needs at-sign separator example and citation guidance
docs/BCS-Bash-Ref/16_Concurrency-and-Parallelism/09_Race-conditions-in-shell.md	KEEP	160	2	P2	skeleton conflates many race classes; needs TOCTOU diagram and concrete fixes
docs/BCS-Bash-Ref/16_Concurrency-and-Parallelism/10_Locking-primitives.md	KEEP	180	3	P2	flock subshell pattern essential and missing; mkdir lock and noclobber lock need full examples
docs/BCS-Bash-Ref/16_Concurrency-and-Parallelism/11_Signal-handling-under-concurrency.md	KEEP	150	2	P2	trap-and-forward pattern is load-bearing for fan-out scripts; needs full kill 0 / pgid example
docs/BCS-Bash-Ref/16_Concurrency-and-Parallelism/12_Queue-patterns.md	KEEP	90	2	P2	add at least one fifo producer-consumer example and lock+append-file pattern
docs/BCS-Bash-Ref/17_Coprocesses-and-IPC/index.md	KEEP	26	0	P3	chapter index complete with orientation prose and links
docs/BCS-Bash-Ref/17_Coprocesses-and-IPC/01_The-coproc-builtin.md	KEEP	70	1	P3	add minimal coproc invocation block; clarify NAME_PID env var name
docs/BCS-Bash-Ref/17_Coprocesses-and-IPC/02_Bidirectional-fd-pairs.md	KEEP	70	1	P3	example present; add deadlock-on-buffering warning with stdbuf demo
docs/BCS-Bash-Ref/17_Coprocesses-and-IPC/03_Multiple-coprocesses.md	KEEP	120	2	P3	skeleton has no example; needs two-coproc demo and fd close discipline
docs/BCS-Bash-Ref/17_Coprocesses-and-IPC/04_Named-pipes-FIFOs.md	KEEP	90	1	P3	add mktemp -p /tmp fifo idiom and trap cleanup example
docs/BCS-Bash-Ref/17_Coprocesses-and-IPC/05_Anonymous-pipes.md	KEEP	80	1	P3	mention pipefail interaction; cross-ref §6.13 must resolve in RAG
docs/BCS-Bash-Ref/17_Coprocesses-and-IPC/06_devtcp-and-devudp.md	KEEP	100	2	P3	example present but split across bullets; consolidate into one HTTP probe block
docs/BCS-Bash-Ref/17_Coprocesses-and-IPC/07_devshm-shared-memory.md	KEEP	70	1	P3	add tmpfs size detection and noexec interaction note
docs/BCS-Bash-Ref/17_Coprocesses-and-IPC/08_External-IPC-tools.md	KEEP	12	0	P3	cheatsheet of escape-hatches; appropriate as bullet list
docs/BCS-Bash-Ref/17_Coprocesses-and-IPC/09_Choosing-the-right-primitive.md	KEEP	14	0	P3	decision tree is concise and complete for its purpose
docs/BCS-Bash-Ref/18_Readline-History-and-Completion/index.md	KEEP	33	0	P3	chapter index complete with orientation prose
docs/BCS-Bash-Ref/18_Readline-History-and-Completion/01_Readline-overview.md	KEEP	13	0	P3	terse but accurate cheat-card; defers detail to subsequent chapters
docs/BCS-Bash-Ref/18_Readline-History-and-Completion/02_Editing-modes.md	KEEP	13	0	P3	cheatsheet adequate for orientation
docs/BCS-Bash-Ref/18_Readline-History-and-Completion/03_Key-bindings.md	KEEP	60	1	P3	add minimal ~/.inputrc snippet to anchor the syntax bullets
docs/BCS-Bash-Ref/18_Readline-History-and-Completion/04_Bindable-functions.md	KEEP	13	0	P3	bind -l is the canonical lookup; cheatsheet appropriate
docs/BCS-Bash-Ref/18_Readline-History-and-Completion/05_History.md	KEEP	16	0	P3	HIST* env-var enumeration complete and useful as cheat-card
docs/BCS-Bash-Ref/18_Readline-History-and-Completion/06_The-history-builtin.md	KEEP	17	0	P3	cheatsheet of subcommands sufficient
docs/BCS-Bash-Ref/18_Readline-History-and-Completion/07_History-expansion.md	KEEP	19	0	P3	complete designator/modifier reference card
docs/BCS-Bash-Ref/18_Readline-History-and-Completion/08_Programmable-completion.md	KEEP	60	1	P3	add minimal complete -F skeleton; bullet density acceptable
docs/BCS-Bash-Ref/18_Readline-History-and-Completion/09_Compspec-actions.md	KEEP	11	0	P3	complete -A action enumeration is the reference
docs/BCS-Bash-Ref/18_Readline-History-and-Completion/10__init_completion.md	KEEP	60	1	P3	add tiny _init_completion call demo to anchor the bullets
docs/BCS-Bash-Ref/18_Readline-History-and-Completion/11_Dynamic-completion-functions.md	KEEP	27	1	P3	example present and idiomatic
docs/BCS-Bash-Ref/18_Readline-History-and-Completion/12_COMPREPLY-and-COMP_-variables.md	KEEP	15	0	P3	COMP_* variable enumeration is the reference card
docs/BCS-Bash-Ref/18_Readline-History-and-Completion/13_Prompts.md	KEEP	14	0	P3	PS0-PS4 enumeration adequate
docs/BCS-Bash-Ref/18_Readline-History-and-Completion/14_Prompt-escapes.md	KEEP	21	0	P3	prompt-escape table is complete cheat-card
docs/BCS-Bash-Ref/18_Readline-History-and-Completion/15_Coloured-and-multi-line-prompts.md	KEEP	50	1	P3	add a single coloured PS1 example showing \[ ... \] wrap discipline
docs/BCS-Bash-Ref/18_Readline-History-and-Completion/16_Terminal-capability-detection.md	KEEP	60	1	P3	add tput colour-test example and dumb-terminal guard
docs/BCS-Bash-Ref/19_Performance/index.md	KEEP	30	0	P3	chapter index complete with orientation prose
docs/BCS-Bash-Ref/19_Performance/01_The-Bash-cost-model.md	KEEP	80	1	P3	cost numbers solid; add citation/method note and one back-of-envelope demo
docs/BCS-Bash-Ref/19_Performance/02_Profiling-tools.md	KEEP	80	1	P3	add EPOCHREALTIME instrumentation snippet and a note on perf for shells
docs/BCS-Bash-Ref/19_Performance/03_time-builtin-vs-time-external.md	KEEP	60	1	P3	add concrete TIMEFORMAT and time -v sample output blocks
docs/BCS-Bash-Ref/19_Performance/04_BASH_XTRACEFD.md	KEEP	60	1	P3	add full exec 3>>... + BASH_XTRACEFD=3 example with cleanup
docs/BCS-Bash-Ref/19_Performance/05_PS4-instrumentation.md	KEEP	12	0	P3	concrete PS4 examples present and idiomatic
